site_id,s_site_latitude,s_site_longitude
ATYH0B9A,33.752035,-84.382243
LI13092B,40.9604029,-72.188399
NO00206A,32.55333333,-92.95
BA10065D,37.955838,-122.500198
PH69318A,40.238464,-111.0114622
SE07122A,48.06726667,-122.572267
CL80001R,42.07089316,-80.040796
IE04761A,34.09252,-117.447163
TK01436B,31.04511111,-97.6292472
9NV1951A,36.07129,-86.69241
1CA7842B,39.862516,-74.924265
LA02937C,33.69356345,-117.865682
ML93883A,46.51020834,-90.50409445
NO00048D,null,null
MO1153BA,30.0264,-89.9889
SP01804B,47.583308,-117.384924
LA75134T,34.00909,-118.493073
8OB0667A,33.352464,-80.829783
DA07404M,32.84159,-97.16616
SF94833S,37.37727778,-121.9202222
A1P0917A,44.829052,-94.278858
CH78459A,41.56,-88.0469722
NJ07143B,40.790892,-74.56025
LI13220D,40.845719,-73.264167
SE04619C,47.47977778,-122.161139
VA60226A,37.1463,-76.4002
SE02830D,47.43888889,-122.068611
SL06139A,43.7019,-112.005507
AR01439C,36.13016666,-94.1561944
MXS0265A,37.601106,-120.994383
LA61048A,33.94473409,-118.3737001
PH12504E,33.50857,-112.34762
9JK1876Z,30.27930069,-82.68180084
SV13557Z,34.77819723,-118.281
TU01831A,36.51179444,-94.7786806
VA41084A,37.60383333,-77.5397778
A2G0311C,27.989739,-82.507175
CH81061A,41.954469,-87.673358
PO03719A,43.27916667,-123.475556
BS03916M,43.424985,-83.96953
TU02817A,36.693944,-94.726583
PH30933D,33.63447222,-111.870861
VA71329A,37.58342222,-77.42401667
A2IB202A,28.06615,-82.56885
NJ09825A,40.7364388,-74.17266483
SAY0601A,29.468937,-98.621013
LA02174A,34.035585,-118.254359
DCS0670A,39.296795,-76.597602
6MD1083D,25.59679444,-80.3605694
NE3230BA,42.3680121,-71.0568701
CT11374D,41.80913889,-72.9173056
VA71601A,37.85833889,-77.4351
SE05384A,47.03458416,-122.7970505
IE24183Z,33.7054,-116.207
DE02186A,42.35395,-83.02735
PH23926A,34.8325,-111.781389
HIY1802A,21.28303,-157.83612
2CN9306A,41.00368,-77.9954
1PH9299A,39.95094,-75.1695
6MD2099B,25.44166667,-80.4783333
JVYH0A6A,30.48416,-81.633557
5WS0005A,36.0767,-80.3003
PH30710B,33.641339,-111.979781
9NV1033A,36.019245,-87.343525
CH61091C,40.537255,-89.566319
6FM0400Z,26.2676,-80.9578
9AT4777A,32.944225,-83.577689
3POO767A,41.7528,-78.0018
VA71658A,37.6163,-77.8645
2LU4903A,41.311833,-76.187806
BL71505A,47.62570015,-122.1614239
PH10103A,33.435454,-112.010622
ON03016A,40.8122,-96.73903333
SC55509A,38.71412778,-121.378947
PH10816D,32.17297222,-110.773917
LUS0134A,38.300835,-85.638682
PR00050A,18.440152,-66.165023
MO14608A,37.9489,-91.7692
MEYH046A,32.3278243,-90.1674953
VA50495B,36.90469302,-76.1507522
SF13209Z,37.55160517,-122.255484
SD08193A,32.73938001,-117.1284599
MO07397D,38.43736111,-90.4781111
DA05720Z,31.02386111,-100.5449167
MT02057B,45.7378519,-111.3124622
HN0144BA,29.745302,-95.498575
MT05300A,48.401944,-114.338472
A2F1510M,27.032101,-82.39761
4BN0329E,42.4988859,-71.5372284
A3B0127B,30.21666667,-95.35
A5D0334A,39.030669,-94.853796
4PR0340A,41.53083333,-71.30166666
AR01731Z,34.458828,-93.157253
PB80001D,41.5012778,-81.4975
DA04892A,32.5632556,-94.8034917
SL01589C,40.4908064,-111.872714
KC80002A,39.05322,-94.59055
NM01701E,36.85333333,-104.461111
SC08560A,36.549922,-119.29078
BX02085B,40.823605,-73.923892
NM01048C,35.88638889,-106.009722
A2E0993X,28.74876228,-81.7290962
4BS0007E,42.91361111,-71.3822222
CHS0383A,41.764164,-87.608563
NJ06695B,40.8075,-74.341111
1PH4437A,39.9687111,-75.15180555
CT11532C,41.97972222,-72.4894444
SE80116A,47.39163,-122.29521
PO03672B,45.35666667,-122.630833
AR01667A,35.56507641,-93.26373448
DN03470T,39.86595,-104.975424
A3F0413B,29.9571,-95.478
TO03605A,41.509014,-82.858097
SF43976A,37.60314,-122.37597
MO02236B,38.55861111,-90.3025
CL50638Z,41.450901,-81.6381
9JK0319B,30.78166666,-81.5771111
CI13507A,38.99119444,-84.1259722
A2E0482A,28.67880555,-81.2608056
CH91051A,41.886469,-87.653986
SL0027XA,38.596145,-90.20505
PXY1010A,33.44,-112.0711462
SF42028A,38.38819168,-121.9395845
DN02423A,39.884275,-104.915234
IE94359A,33.9182,-117.2273
WI02283A,37.67870277,-97.05061388
9AT4796A,33.5851,-84.147925
DCS0972A,38.93116,-76.9716
9ME0760A,32.59031666,-88.51031666
SE02679A,47.78940833,-122.057844
NEE0048A,42.29267,-71.08033
A1P0417C,44.96943,-93.26802
IE24024D,34.11489444,-117.806792
A5C0362T,39.20265556,-94.5619547
9AT3672Z,31.47489929,-84.49279785
MLS0177A,43.0713,-87.97301
SA01393D,29.52735,-98.58337
NM01288B,34.99158,-106.71832
SFYH0G4A,37.303049,-121.864941
SE80002C,47.44975,-122.3103889
4DEB473F,42.775,-70.84222222
SE05055E,47.40555556,-122.500556
SV14150A,34.138216,-118.674948
4BN0476B,42.40005,-71.24665555
1NH6683D,40.66881944,-75.2594444
LI3103BA,40.8807222,-73.3963889
SC70102A,36.21025,-119.3268889
3CBA079L,42.35927778,-73.4306389
ML93870A,43.33391667,-90.10480556
6IP0094A,26.134245,-80.341523
9BH3501S,34.96518326,-90.15368652
1CH6675Q,39.97916666,-75.59083333
SV01539A,34.42694757,-118.591391
A1O0219D,45.07444444,-93.3516667
1BU1407F,40.19558333,-75.0276167
NYYD701A,40.764421,-73.962963
PO01941B,45.70527778,-124.078056
SE07166B,48.408272,-122.292694
DCS0406A,39.307257,-76.623665
BQM6026A,40.75555,-73.90819
A3B0339A,30.248991,-95.200134
9JK0651C,30.79277777,-81.6636111
SE03330A,47.621708,-122.175819
4BS0974A,41.949111,-70.89575
VG08373E,36.153739,-115.303236
SD06498A,32.74301,-117.23299
IE04713A,34.126423,-117.798955
A1Q0710D,null,null
LI13353A,40.84705674,-72.64766
LA13994A,33.91490428,-118.392735
CHS2753A,41.780512,-87.604919
1CA6803H,39.8982218,-74.9881852
4MN0587C,43.33354166,-71.83360833
MO15841Z,39.1199,-92.2416
SC08600A,36.73544404,-119.741088
SV90125A,34.25795,-118.432406
WVJ0744D,38.9071,-82.8018
7BAN276G,39.44111111,-76.5330556
6WP1323A,26.62848,-80.059041
PH1357BA,33.523897,-112.108467
NJ06840A,40.737222,-74.207778
IE24125E,34.24288056,-117.285736
CH64320B,41.847008,-88.05665
AT4024ZA,33.641031,-84.43923
9BH7356A,34.980828,-87.895681
SV13746B,34.317821,-118.460863
NOI2597A,30.632919,-88.127789
A1O0654T,45.74128,-94.9804
A5C0225A,38.065,-94.4191667
NJ06350B,40.9921,-74.3253
FLY0117A,25.958451,-80.240086
SV12530A,34.251154,-118.60596
7BAS009A,38.989115,-76.670836
LA74580Y,33.981862,-118.395568
HNYH041A,29.73691,-95.4673
CH17339D,null,null
NJ06144C,40.8869,-74.4329
SL06409B,43.558801,-116.249707
9JK1598A,30.249604,-81.576027
